Michael J. Violante,Violante
Scott D. McNamara,McNamara
William J. Fitzpatrick,Fitzpatrick
R. Michael Tantillo,Tantillo
Edward M. Sharkey,Sharkey
Donald H. Dodd,Dodd
Michael C. Green,Green
Lawrence Friedman,Friedman
"Frank A. Sedita, III",Sedita
"John H. Crandall, Sr.",Crandall
John C. Tunney,Tunney
Susan H. Lindenmuth,Lindenmuth
David W. Foley,Foley
Thomas E. Moran,Moran
Robert M. Morgenthau,Morgenthau
Robert T. Johnson,Johnson
James A. Murphy III,Murphy
Nicole M. Duve,Duve
P. David Soares,Soares
Kevin C. Kortright,Kortright
Beth G. Cozzolino,Cozzolino
Gerald F. Mollen,Mollen
Richard D. Northrup Jr.,Northrup
Robert M. Carney,Carney
Stephen F. Lungen,Lungen
Thomas J. Spota,Spota
Francis D. Phillips II,Phillips
Thomas P. Zugibe,Zugibe
Kathleen M. Rice,Rice
Adam B. Levy,Levy
Charles J. Hynes,Hynes
Richard A. Brown,Brown
Janet DiFiore,DiFiore
Cindy F. Intschert,Intschert
Kathleen B. Hogan,Hogan
Weeden A. Wetmore,Wetmore
Richard J. McNally Jr.,McNally
"Daniel M. Donovan, Jr.",Donovan
Andrew J. Wylie,Wylie
Holley Carnright,Carnright
Mark D. Suben,Suben
William V. Grady,Grady
"Richard J. McNally, Jr.",McNally
Joseph A. McBride,McBride
Terry J. Wilhelm,Wilhelm
"Kevin C. Kortright, Washington County",Kortright
Robert S. Morgenthau,Morgenthau
"Derek P. Champagne, Franklin County",Champagne
Joseph V. Cardone,Cardone
Richard M. Healy,Healy
James E. Conboy,Conboy
Gwen Wilkinson,Wilkinson
Gerald A. Keene,Keene
James Sacket,Sacket
William G. Gabor,Gabor
Derek P. Champagne,Champagne
Kristy L. Sprague,Sprague
John M. Muehl,Muehl
"Richard D. Northrup, Jr.",Northrup
Leanne K. Moser,Moser
Barry L. Porsch,Porsch
Gerald L. Stout,Stout
Louise K. Sira,Sira
"Cyrus R. Vance, Jr.",Vance
John W. Muehl,Muehl
James R. Farrell,Farrell
Lori Pettit Rieman,Rieman
Craig Stephen Brown,Brown
Joseph G. Fazzary,Fazzary
John H. Crandall,Crandall
Many,Tunney
Jason L. Cook,Cook
Gerald M. Mollen,Mollen
Lori Rieman,Rieman
"Cryus R. Vance, Jr.",Vance
Beth C. Cozzolino,Cozzolino
Keith Slep,Slep
Cyrus R. Vance Jr.,Vance
James T. Curry,Curry
"Cyrus, R. Vance, Jr.",Vance
D. Holley Carnright,Carnright
Richard J. McNally,McNally
David S. Hartnett,Hartnett
Frank J. Clark,Clark
Terrence M. Parker,Parker
Jeffrey A. Aumell,Aumell
Julie A. Garcia,Garcia
Louis K. Sira,Sira
"James A. Murphy, III",Murphy
John R. Trice,Trice
Donald F. Cerio Jr.,Cerio
Michael E. Bongiorno,Bongiorno
Donald A. Williams,William
Davis S. Hartnett,Hartnett
Patricia A. DeAngelis,DeAngelis
Robert J. Johnson,Johnson
"Matthew J. Murphy, III",Murphy
James B. Vargason,Vargason
Kevin L. Wright,Wright
HOWARD R. RELIN,Relin
FRANK J. CLARK,Clark
R. MICHAEL TANTILLO,Tantillo
GERALD L. STOUT,Stout
THOMAS E. MORAN,Moran
CINDY F. INTSCHERT,Intschert
LAWRENCE FRIEDMAN,Friedman
MICHAEL A. ARCURI,Arcuri
JAMES B. VARGASON,Vargason
EDWARD M. SHARKEY,Sharkey
WILLIAM J. FITZPATRICK,Fitzpatrick
"MATTHEW J. MURPHY, III",Murphy
RICHARD M. HEALY,Healy
MICHAEL C. GREEN,Green
JOHN C. TUNNEY,Tunney
Denis Dillon,Dillon
JOSEPH V. CARDONE,Cardone
Jeanine Pirro,Pirro
DONALD H. DODD,Dodd
TERRENCE M. PARKER,Parker
JAMES P. SUBJACK,Subjack
"JOHN H. CRANDALL, SR.",Crandall
Paul A. Clyne,Clyne
John F. Trice,Trice
Michael A. Arcuri,Arcuri
David Hartnett,Hartnett
Gwen P. Wilkinson,Wilkinson
Julia A. Garcia,Garcia
Michael F. Young,Young
Kenneth P. Thompson,Thompson
David M. Hoovler,Hoovler
Paul Czajka,Czajka
Kirk O. Martin,Martin
Arthur Glass,Glass
Keith A. Slep,Slep
Sandra Doorley,Doorley
Sandra J. Doorley,Doorley
Mary E. Rain,Rain
Gregory J. McCaffrey,McCaffrey
Jeffrey S. Carpenter,Carpenter
J. Anthony Jordan,Jordan
Brooks T. Baker,Baker
James A. Murphy,Murphy
Cyrus R. Vance,Vance
Marsha K. Purdue,Purdue
Valerie G. Gardner,Gardner
Charles O. Bucca,Bucca
Gregory S. Oakes,Oakes
Arthur F. Glass Jr.,Glass
"D. Holley, Carnright",Carnright
Barry Porsch,Porsch
Karen A. Heggen,Heggen
Daniel M. Donovan,Donovan
"Robert T, Johnson",Johnson
Joel E. Abelove,Abelove
Madeline Singas,Singas
Joseph Stanzione,Stanzione
D. Holly Carnright,Carnright
Glenn MacNeill,MacNeill
"Jeffrey S. Carpenter, Assistant",Carpenter
"Cyrus R. Vance, Jr., District Attorney, New York (R. Vance, Jr.",Vance
Robert T Johnson,Johnson
Lori P. Rieman,Rieman
Willam G. Gabor,Gabor
"Frank A. Sedita, Iii",Sedita
Madeline M. Singas,Singas
"Daniel L. Master, Jr.",Master
Karen Heggen,Heggen
John Muehl,Muehl
Stephen K. Cornwell Jr.,Cornwell
Craig P. Carriero,Carriero
Darcel D. Clark,Clark
Michael E. McMahon,McMahon
Chad W. Brown,Brown
John L. Hubbard,Hubbard
Stephen K. Cornwell,Cornwell
SANDRA DOORLEY,Doorley
Jon E. Budelmann,Lindenmuth
Donald G. O'Geen,Lindenmuth
Kevin C. Kortwright,Lindenmuth
Richard E. Swinehart,Lindenmuth
George M. Dentes,Lindenmuth
RICHARD E. SWINEHART,Lindenmuth
Joseph G. Fazzay,Lindenmuth
Robert M. Morgenthal,Lindenmuth
P. David Soars,Lindenmuth
Lawrence Friendman,Lindenmuth
J. Anthony Jordon,Lindenmuth
David M. Hoover,Lindenmuth
"Mineola, N.Y.",Rice
Michael P. Langey,Garcia
Christina Bruher,Trice
Edward J. Nowak,Green
James P. Maxwell,Hartnett
Charles E. Inman,Cozzolino
Scott D. Mc Namara,McNamara
Paul L. Howard Jr.,MacNeill
Andrew J. Bonavia,Wilkinson
Robert Knapp,Carnright
Christopher Bokelman,Healy
Jason M. Carusone,Hogan
Irene C. Graven,Graven
James A. McCarty,McCarty
Robert Tendy,Tendy
Kristyna S. Mills,Mills
"Michael J. Flaherty, Jr.",Flaherty
Patrick E. Swanson,Swanson
Eric Gonzalez,Gonzalez
"Anthony A. Scarpino, Jr.",Scarpino
Kelli P. McCoski,McCoski
"Theodore A. Brenner, Deputy",Brenner
John J. Flynn,Flynn
Patrick A. Perfetti,Perfetti
Caroline A. Wojtaszek,Wojtaszek
Matthew Van Houten,Van Houten
Matthew VanHouten,Van Houten
Eliza Filipowski,Filipowski